match_id,home_score,away_score,home_penalty_score,away_penalty_score,home_scorers,away_scorers,entered_at
93,0,1,,,,734,2026-07-07T09:08:02+00:00
94,1,4,,,329,641;641;644;633,2026-07-07T09:09:14+00:00
95,3,2,,,949;946;960,652;661,2026-07-07T18:45:13+00:00
96,0,0,4.0,3.0,,,2026-07-08T09:02:11+00:00
97,2,0,,,842;839,,2026-07-14T18:58:08+00:00
98,2,1,,,736;734,641,2026-07-14T18:58:41+00:00
99,1,2,,,931,1154;1154,2026-07-14T18:59:04+00:00
100,3,1,,,956;945;942,193,2026-07-14T18:59:42+00:00
101,0,2,,,,749;740,2026-07-19T20:42:22+00:00
102,1,2,,,1162,960;958,2026-07-19T20:43:16+00:00
103,4,6,,,842;842;844;839,1148;1146;1151;1151;1151;1154,2026-07-19T20:44:38+00:00
104,1,0,,,735,,2026-07-20T09:31:56+00:00
